269,1337,9372,2434,58,2341,1
270,387,2823,2156,49,2070,1
271,398,2980,2236,84,2064,1
272,1220,3278,2519,99,2394,1
273,1285,3036,2299,86,2119,1
274,420,2858,2186,49,2111,1
275,5,4945,2385,88,2115,1
276,1230,3240,2484,83,2257,1
277,1244,3727,2996,96,2864,1
278,1886,14821,2448,56,2365,1
279,162,3323,2641,83,2353,1
280,443,2857,2245,49,2170,1
281,1250,3583,2978,48,2903,1
282,1887,11015,2143,65,2052,1
283,1281,3177,2530,48,2447,1
284,1256,2902,2165,49,2079,1
285,1261,3593,2924,51,2837,1
286,1265,6362,2546,51,2460,1
287,431,13237,2983,55,2901,1
288,1267,3528,2853,49,2777,1
289,1269,3395,2696,81,2461,2
290,1992,3406,2676,100,2550,1
291,425,3649,2928,48,2844,1
292,89,3285,2584,85,2374,1
293,439,3479,2779,84,2535,1
294,81,2855,2097,84,1957,1
295,8,3431,2715,53,2622,1
296,765,3496,2789,85,2595,2
297,30,3302,2568,85,2426,1
298,891,15942,2175,97,1910,1
299,896,2820,2077,83,1780,1
300,904,2782,2040,81,1933,1
301,907,21053,2011,48,1925,1
302,619,2774,2038,83,1749,1
303,616,3741,2434,90,2261,1
304,1950,22522,2694,68,2591,1
305,29,2923,2270,50,2193,1
306,611,2800,2110,49,2035,1
307,1942,3332,2694,50,2608,1
308,937,3969,2321,118,2172,1
309,938,3361,2731,48,2658,1
310,939,2918,2161,82,1981,1
311,960,3218,2495,48,2410,1
312,964,3305,2286,84,2050,1
313,966,2786,2150,50,2064,1
314,968,3645,2979,49,2904,1
315,928,3440,2813,48,2728,1
316,593,3102,2376,93,2257,1
317,630,3057,2369,50,2293,1
318,868,2658,2015,49,1930,1
319,820,2811,2068,49,1983,1
320,823,13859,2378,97,2100,1
321,816,2718,2002,83,1807,1
322,18,2731,2038,26,1985,1
323,815,3624,2988,49,2903,1
324,1973,14514,2204,49,2122,1
325,813,2926,2218,49,2134,1
326,1969,8669,2115,56,2023,1
327,27,3595,2907,51,2819,1
328,846,3319,2675,49,2590,1
329,852,3729,2983,69,2878,1
330,855,3657,2922,86,2748,1
331,862,12380,2989,97,2698,1
332,864,3668,2922,84,2632,1
333,812,3127,2391,83,2194,1
334,637,2896,2260,51,2183,1
335,666,3063,2328,86,2116,1
336,1959,2760,2101,51,2023,1
337,1963,3321,2658,49,2573,1
338,592,3263,2665,50,2589,1
339,590,2982,2297,48,2224,1
340,811,2961,2222,82,2069,1
341,1924,3398,2731,49,2646,1
342,52,13768,2276,55,2196,1
343,1055,2826,2243,48,2160,1
344,53,6719,2915,61,2819,1
345,1064,3320,2685,50,2599,1
346,683,16222,2525,50,2437,1
347,1981,7076,2405,49,2322,1
348,543,16169,2282,138,2069,1
349,1343,3244,2532,49,2448,1
350,56,4574,2684,50,2598,1
351,538,2646,2004,49,1920,1
352,537,2739,2104,50,2027,1
353,1078,2991,2271,84,2033,1
354,535,3298,2672,56,2590,1
355,534,2795,2094,75,1984,1
356,687,14280,2002,53,1911,1
357,1985,3065,2322,49,2247,1
358,690,5250,2062,63,1973,1
359,685,3073,2311,81,2195,1
360,779,2830,2103,84,1876,1
361,1027,3182,2525,54,2444,1
362,47,3268,2552,49,2467,1
363,589,3505,2853,87,2740,1
364,975,2779,2092,49,2006,1
365,977,3319,2631,49,2547,1
366,668,3061,2320,85,2145,1
367,978,3232,2529,84,2259,2
368,39,2896,2189,48,2115,1
369,997,2916,2172,84,2003,1
370,40,6005,2637,55,2535,1
371,808,10499,2862,54,2772,1
372,1006,3078,2331,79,2217,1
373,1931,3554,2928,48,2844,2
374,1008,5510,2195,47,2121,1
375,675,4758,2010,55,1919,1
376,569,3556,2807,87,2566,1
377,568,3317,2560,84,2331,1
378,567,3732,2973,49,2898,1
379,12,2853,2146,56,2051,1
380,1016,2877,2150,85,2013,1
381,45,2759,2011,96,1889,1
382,759,3031,2292,71,2195,1
383,1746,2934,2263,48,2179,1
384,444,2958,2348,49,2273,1
385,1794,7531,2420,82,2175,1
386,1522,3114,2379,74,2270,1
387,1351,3287,2693,52,2605,1
388,1529,3431,2668,51,2581,1
389,1534,2834,2061,52,1983,1
390,266,8180,2695,57,2610,1
391,267,4124,2015,56,1932,1
392,1535,3189,2502,86,2219,1
393,264,3917,2661,83,2384,1
394,262,3941,2300,82,2015,1
395,1538,6481,2233,84,1987,1
396,1540,3099,2454,65,2354,1
397,1543,3995,2275,87,2033,1
398,1544,3160,2507,49,2432,1
399,1546,4341,2289,84,2006,1
400,255,20774,2954,24,2904,1
401,1551,2867,2113,84,1972,1
402,1552,4399,2507,85,2227,1
403,251,3531,2925,47,2844,1
404,1555,3327,2673,49,2589,1
405,1519,3594,2949,49,2865,1
406,1560,3441,2806,50,2720,2
407,131,3063,2338,82,2177,1
408,1499,3215,2510,84,2297,1
409,1821,3666,2927,83,2690,1
410,317,2703,2102,49,2027,1
411,315,3667,2907,48,2825,1
412,1453,2679,2042,48,1968,1
413,1458,8650,2788,52,2710,1
414,1814,3554,2974,49,2899,1
415,1465,3522,2857,79,2752,1
416,310,5702,2675,88,2553,1
417,1469,6916,2741,54,2654,2
418,1470,2903,2216,48,2142,1
419,1472,9308,2206,50,2120,1
420,1475,3350,2684,48,2602,1
421,300,2809,2038,82,1849,1
422,299,2635,2044,48,1970,1
423,1806,2953,2195,51,2108,1
424,297,3704,2969,49,2883,2
425,296,2930,2279,48,2196,1
426,294,3423,2699,99,2562,1
427,1494,2839,2098,83,1845,1
428,1510,3002,2245,48,2163,1
429,1787,3343,2605,85,2368,1
430,1784,17696,2261,55,2168,1
431,1778,3265,2591,49,2506,1
432,1660,3439,2738,50,2650,1
433,152,11884,2872,85,2626,1
434,1662,3319,2630,49,2554,1
435,1663,3083,2299,85,2098,1
436,195,2665,2031,47,1948,1
437,1678,3686,2927,86,2686,1
438,1699,3213,2481,78,2369,1
439,1705,2965,2266,52,2178,1
440,1708,4959,2568,83,2270,1
441,183,3199,2534,49,2459,1
442,1713,3596,2950,49,2863,1
