368	1.846	4	2
369	1.885	7	3
370	2.062	10	9
371	1.601	6	1
372	1.619	6	2
373	1.942	9	4
374	1.885	25	15
375	1.639	2	1
376	1.854	4	4
377	1.889	14	12
378	1.821	14	3
379	1.657	2	2
380	1.768	13	13
381	1.645	2	1
382	1.640	2	1
383	1.884	5	5
384	1.808	4	3
385	1.953	7	6
386	1.889	3	3
387	1.627	2	2
388	1.746	5	4
389	1.798	4	4
390	2.056	5	4
391	2.160	8	7
392	1.822	3	3
393	1.985	15	14
394	1.937	3	3
395	1.870	4	3
396	1.678	10	9
397	1.724	17	16
398	1.660	2	2
399	1.716	7	6
400	1.740	5	4
401	1.783	3	2
402	1.871	8	3
403	1.631	5	1
404	2.012	3	3
405	1.693	8	8
406	1.714	17	9
407	1.740	11	11
408	1.753	6	6
409	1.797	5	5
410	1.628	2	1
411	1.796	3	3
412	1.860	10	7
413	1.988	5	5
414	1.626	5	2
415	2.032	4	3
416	2.127	12	11
417	1.595	12	1
418	1.856	15	3
419	1.954	5	3
420	1.645	2	2
421	1.924	5	4
422	1.894	3	3
423	1.650	2	1
424	2.007	5	5
425	1.886	3	2
426	1.985	6	5
427	1.876	3	3
428	2.013	4	4
429	1.742	15	10
430	1.911	13	10
431	1.145	13	2
432	1.238	12	3
433	1.637	2	1
434	1.711	8	7
435	2.099	13	7
436	1.718	14	13
437	1.819	10	3
438	1.847	17	16
439	1.648	3	2
440	1.707	10	10
441	2.026	21	20
442	1.832	6	3
443	1.658	2	2
444	1.639	2	2
445	1.945	5	4
446	1.729	8	5
447	1.801	4	3
448	2.120	5	5
449	1.960	4	3
450	2.119	8	6
451	1.669	10	9
452	2.098	9	8
453	1.901	4	3
454	1.709	7	6
455	1.853	18	17
456	2.019	6	6
457	1.637	2	1
458	1.719	4	3
459	1.781	5	4
460	1.767	13	12
461	1.713	15	14
462	1.747	14	13
463	1.639	4	1
464	1.897	4	3
465	1.630	3	1
466	1.896	30	27
467	2.061	7	6
468	1.766	26	26
469	2.122	4	3
470	1.838	8	7
471	1.972	6	5
472	1.634	2	1
473	1.649	2	1
474	1.945	4	3
475	1.803	6	5
476	1.716	8	8
477	1.728	10	9
478	1.640	2	1
479	1.911	3	3
480	1.794	3	2
481	1.823	6	4
482	1.893	4	3
483	1.817	16	15
484	1.882	4	3
485	1.710	6	6
486	1.772	16	15
487	1.856	19	4
488	1.793	3	2
489	1.632	2	1
490	1.873	6	4
491	1.646	2	2
492	1.838	4	4
493	1.867	8	4
494	1.928	4	3
495	1.740	25	24
496	1.946	5	4
497	1.590	4	1
498	1.928	7	3
499	1.734	4	3
500	1.711	10	6
501	1.999	6	4
502	1.723	10	7
503	1.984	10	10
504	1.744	15	15
505	1.958	20	5
506	2.069	6	5
507	1.956	6	4
508	1.799	9	7
509	1.932	5	4
510	1.697	18	18
511	1.752	9	3
